DI_SEGMENT,string,HX,HX,HX,HX,HX,HX,HX,HX,HX,HX,HX,HX,HX,HX,HX,HX,HX,HX,HX,HX,HX,HX,HX,HX,HX,HX,HX,HX,HX
DI_PRODUCT_NAME,string,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product
DI_PLATFORM_ID,string,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
DI_PCORE_COUNT,string,8,8,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
DI_P_CORE_DIE_STEP,string,PNC-B0,PNC-B0,PNC-B0,PNC-B0,PNC-B0,PNC-B0,PNC-B0,PNC-B0,PNC-B0,PNC-B0,PNC-B0,PNC-B0,PNC-B0,PNC-B0,PNC-B0,PNC-B0,PNC-B0,PNC-B0,PNC-B0,PNC-B0,PNC-B0,PNC-B0,PNC-B0,PNC-B0,PNC-B0,PNC-B0,PNC-B0,PNC-B0,PNC-B0
DI_LP_ECORE,string,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
DI_LP_E_CORE_DIE_STEP,string,"ARW-A0 ","ARW-A0 ","ARW-A0 ","ARW-A0 ","ARW-A0 ","ARW-A0 ","ARW-A0 ","ARW-A0 ","ARW-A0 ","ARW-A0 ","ARW-A0 ","ARW-A0 ","ARW-A0 ","ARW-A0 ","ARW-A0 ","ARW-A0 ","ARW-A0 ","ARW-A0 ","ARW-A0 ","ARW-A0 ","ARW-A0 ","ARW-A0 ","ARW-A0 ","ARW-A0 ","ARW-A0 ","ARW-A0 ","ARW-A0 ","ARW-A0 ","ARW-A0 "
DI_INTERNAL_STEP,string,"B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 "
DI_IA_OFFSET_VOLTAGE,string,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
DI_HOST_REVISION_ID_SRID,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DI_HOST_REVISION_ID_CRID,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DI_GT_EUS,string,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
DI_EXTERNAL_STEP,string,"B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 ","B0 "
DI_ECORE_COUNT,string,12,16,8,16,12,16,16,16,12,16,16,12,12,12,16,16,16,12,16,12,16,12,16,16,16,12,16,16,16
DI_E_CORE_DIE_STEP,string,"ARW-B0 ","ARW-B0 ","ARW-B0 ","ARW-B0 ","ARW-B0 ","ARW-B0 ","ARW-B0 ","ARW-B0 ","ARW-B0 ","ARW-B0 ","ARW-B0 ","ARW-B0 ","ARW-B0 ","ARW-B0 ","ARW-B0 ","ARW-B0 ","ARW-B0 ","ARW-B0 ","ARW-B0 ","ARW-B0 ","ARW-B0 ","ARW-B0 ","ARW-B0 ","ARW-B0 ","ARW-B0 ","ARW-B0 ","ARW-B0 ","ARW-B0 ","ARW-B0 "
DI_DEVICEID_CHK,string,DeviceID-Match,DeviceID-Match,DeviceID-Match,DeviceID-Match,DeviceID-Match,DeviceID-Match,DeviceID-Match,DeviceID-Match,DeviceID-Match,DeviceID-Match,DeviceID-Match,DeviceID-Match,DeviceID-Match,DeviceID-Match,DeviceID-Match,DeviceID-Match,DeviceID-Match,DeviceID-Match,DeviceID-Match,DeviceID-Match,DeviceID-Match,DeviceID-Match,DeviceID-Match,DeviceID-Match,DeviceID-Match,DeviceID-Match,DeviceID-Match,DeviceID-Match,DeviceID-Match
DI_DEVICE_ID_DID2,string,D743,D743,D743,D743,D743,D743,D743,D743,D743,D743,D743,D743,D743,D743,D743,D743,D743,D743,D743,D743,D743,D743,D743,D743,D743,D743,D743,D743,D743
DI_DEVICE_ID_0,string,D705,D705,D705,D705,D705,D705,D705,D705,D705,D705,D705,D705,D705,D705,D705,D705,D705,D705,D705,D705,D705,D705,D705,D705,D705,D705,D705,D705,D705
DI_CPUID,string,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31
VCCSA_TOB,string,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
VCCSA_RIPPLE_MAX,string,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
VCCSA_PCODE_MAX_VID,string,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52
VCCSA_LOAD_LINE_DC_PERF,string,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
VCCSA_LOAD_LINE_AC_PERF,string,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
VCCSA_IPL2_TDC_PERF,string,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
VCCSA_ICCMAX_RAW_PERF,string,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
VCCGT_TOB,string,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
VCCGT_RIPPLE_MAX,string,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
VCCGT_PCODE_MAX_VID,string,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52
VCCGT_LOAD_LINE_DC_PERF,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCCGT_LOAD_LINE_AC_PERF,string,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
VCCGT_ICCMAX_RAW_PERF,string,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
VCC_PCORE_TOB,string,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
VCC_PCORE_RIPPLE_MAX,string,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
VCC_PCORE_PL4_PERF,string,296,296,163,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296
VCC_PCORE_PL2_PERF,string,145,145,65,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145
VCC_PCORE_PCODE_MAX_VID,string,1.77,1.77,2,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77
VCC_PCORE_LOAD_LINE_DC_PERF,string,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
VCC_PCORE_LOAD_LINE_AC_PERF,string,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
VCC_PCORE_IPL2_TDC_PERF,string,102,110,44,110,102,110,110,110,102,110,110,102,102,102,110,110,110,102,110,102,110,102,110,110,110,102,110,110,110
VCC_PCORE_ICCMAX_RAW_PERF,string,274,274,118,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274
VCC_LP_E_CORE_TOB,string,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
VCC_LP_E_CORE_RIPPLE_MAX,string,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
VCC_LP_E_CORE_PCODE_MAX_VID,string,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52
VCC_LP_E_CORE_LOAD_LINE_DC_PERF,string,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8
VCC_LP_E_CORE_LOAD_LINE_AC_PERF,string,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8
VCC_LP_E_CORE_ICCMAX_RAW_PERF,string,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
TDP_NOMINAL_BASE_POWER_TDP_PL1,string,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
PRODUCT_NAME_SEGMENT,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD_INDEX_EDS,string,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PD_INDEX_CHK,string,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match
FUNCTIONAL_P_CORE_AMOUNT,string,8,8,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
FUNCTIONAL_LP_E_CORE_AMOUNT,string,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FUNCTIONAL_E_CORE_AMOUNT,string,12,16,8,16,12,16,16,16,12,16,16,12,12,12,16,16,16,12,16,12,16,12,16,16,16,12,16,16,16
TOTAL_MLC,string,,,,,32,,,,,,32,,,,32,,,,,,,,,32,,32,,,
PROCESSOR_NUMBER,string,,,,,N/A,,,,,,N/A,,,,N/A,,,,,,,,,N/A,,N/A,,,
MM-PINCOUNT,string,,,,,2540,,,,,,2540,,,,2540,,,,,,,,,2540,,2540,,,
MM-CODE-NAME,string,,,,,NOVA LAKE-BASE-HX,,,,,,NOVA LAKE-BASE-HX,,,,NOVA LAKE-BASE-HX,,,,,,,,,NOVA LAKE-BASE-HX,,NOVA LAKE-BASE-HX,,,
MARKET_CODE_NAME,string,,,,,NOVA LAKE,,,,,,NOVA LAKE,,,,NOVA LAKE,,,,,,,,,NOVA LAKE,,NOVA LAKE,,,
ITNERNAL_REVISION,string,,,,,0,,,,,,0,,,,0,,,,,,,,,0,,0,,,
IO_DIE_STEPPING,string,,,,,B0,,,,,,B0,,,,B0,,,,,,,,,B0,,B0,,,
makeBuyCode,string,M,,M,,M,,,,M,,M,M,M,M,M,,,M,,M,M,M,,M,,M,,M,
WIRED_LAN,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
weightUom,string,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB
WAKE_ON_VOICE_SUPPORT,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
WAKE_ON_TOUCH_SUPPORT,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
VPU_TILE_CONFIG,string,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
VPU_FMAX_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
VPU_FMAX,string,1.85,2.25,2.15,2.15,2.15,2.25,2.15,2.15,2.25,2.15,2.15,2.15,2.15,2.15,1.85,2.15,2.25,2.25,2.5,2.15,2.15,2.15,2.5,2.15,2.15,1.85,2.25,2.15,1.85
VIRTL_TECH_CD,string,"VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT"
VIRTL_MCHN_CTRL_STRC_SHDW_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
userItemType,string,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good
USBC_PORTS,string,4,0,0,0,4,0,0,0,0,4,4,0,0,0,4,4,0,0,0,0,0,4,0,4,0,4,0,0,4
USB3_CONFIG_PORT_2,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
USB3_CONFIG_PORT_1,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
UFS_DID_0,string,D335,D335,D335,D335,D335,D335,D335,D335,D335,D335,D335,D335,D335,D335,D335,D335,D335,D335,D335,D335,D335,D335,D335,D335,D335,D335,D335,D335,D335
TYPE_C_PORT_4,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
TYPE_C_PORT_3,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
TYPE_C_PORT_2,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
TYPE_C_PORT_1,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
TURBO_SMALL_CORE_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
TURBO_MAX_3_IND,string,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE
TURBO_MAX_3_FREQ,string,4.5,4.7,4,4.7,4.6,4.7,4.7,4.7,4.5,4.7,4.7,4.5,4.5,4.5,4.7,4.8,4.7,4.5,4.9,4.5,4.6,4.6,4.9,4.8,4.7,4.5,4.7,4.6,4.7
TURBO_FREQ_UNLOCKE_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,DISABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,DISABLED,ENABLED,ENABLED,ENABLED,DISABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,DISABLED,ENABLED,DISABLED,ENABLED,ENABLED,ENABLED
TURBO_CORE_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
TURBO_9_SMALL_CORE_FREQ_RATE,string,3.6,3.7,0,3.7,3.6,3.7,3.7,3.7,3.6,3.7,3.7,3.6,3.6,3.6,3.7,3.7,3.7,3.6,3.9,3.6,3.5,3.6,3.9,3.7,3.7,3.6,3.7,3.5,3.7
TURBO_9_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_8_SMALL_CORE_FREQ_RATE,string,3.6,3.7,3.2,3.7,3.6,3.7,3.7,3.7,3.6,3.7,3.7,3.6,3.6,3.6,3.7,3.7,3.7,3.6,3.9,3.6,3.5,3.6,3.9,3.7,3.7,3.6,3.7,3.5,3.7
TURBO_8_CORE_FREQ_RTE,string,4.4,4.6,0,4.6,4.5,4.6,4.6,4.6,4.4,4.6,4.6,4.4,4.4,4.4,4.6,4.7,4.6,4.4,4.8,4.4,4.5,4.5,4.8,4.7,4.6,4.4,4.6,4.5,4.6
TURBO_7_SMALL_CORE_FREQ_RATE,string,3.6,3.7,3.2,3.7,3.6,3.7,3.7,3.7,3.6,3.7,3.7,3.6,3.6,3.6,3.7,3.7,3.7,3.6,3.9,3.6,3.5,3.6,3.9,3.7,3.7,3.6,3.7,3.5,3.7
TURBO_7_CORE_FREQ_RTE,string,4.4,4.6,0,4.6,4.5,4.6,4.6,4.6,4.4,4.6,4.6,4.4,4.4,4.4,4.6,4.7,4.6,4.4,4.8,4.4,4.5,4.5,4.8,4.7,4.6,4.4,4.6,4.5,4.6
TURBO_6_SMALL_CORE_FREQ_RATE,string,3.6,3.7,3.2,3.7,3.6,3.7,3.7,3.7,3.6,3.7,3.7,3.6,3.6,3.6,3.7,3.7,3.7,3.6,3.9,3.6,3.5,3.6,3.9,3.7,3.7,3.6,3.7,3.5,3.7
TURBO_6_CORE_FREQ_RTE,string,4.4,4.6,0,4.6,4.5,4.6,4.6,4.6,4.4,4.6,4.6,4.4,4.4,4.4,4.6,4.7,4.6,4.4,4.8,4.4,4.5,4.5,4.8,4.7,4.6,4.4,4.6,4.5,4.6
TURBO_5_SMALL_CORE_FREQ_RATE,string,3.6,3.7,3.2,3.7,3.6,3.7,3.7,3.7,3.6,3.7,3.7,3.6,3.6,3.6,3.7,3.7,3.7,3.6,3.9,3.6,3.5,3.6,3.9,3.7,3.7,3.6,3.7,3.5,3.7
TURBO_5_CORE_FREQ_RTE,string,4.4,4.6,0,4.6,4.5,4.6,4.6,4.6,4.4,4.6,4.6,4.4,4.4,4.4,4.6,4.7,4.6,4.4,4.8,4.4,4.5,4.5,4.8,4.7,4.6,4.4,4.6,4.5,4.6
TURBO_4_SMALL_CORE_FREQ_RATE,string,3.6,3.7,3.2,3.7,3.6,3.7,3.7,3.7,3.6,3.7,3.7,3.6,3.6,3.6,3.7,3.7,3.7,3.6,3.9,3.6,3.5,3.6,3.9,3.7,3.7,3.6,3.7,3.5,3.7
TURBO_4_CORE_FREQ_RTE,string,4.4,4.6,3.9,4.6,4.5,4.6,4.6,4.6,4.4,4.6,4.6,4.4,4.4,4.4,4.6,4.7,4.6,4.4,4.8,4.4,4.5,4.5,4.8,4.7,4.6,4.4,4.6,4.5,4.6
TURBO_32_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_31_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_30_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_3_SMALL_CORE_FREQ_RATE,string,3.6,3.7,3.2,3.7,3.6,3.7,3.7,3.7,3.6,3.7,3.7,3.6,3.6,3.6,3.7,3.7,3.7,3.6,3.9,3.6,3.5,3.6,3.9,3.7,3.7,3.6,3.7,3.5,3.7
TURBO_3_CORE_FREQ_RTE,string,4.4,4.6,3.9,4.6,4.5,4.6,4.6,4.6,4.4,4.6,4.6,4.4,4.4,4.4,4.6,4.7,4.6,4.4,4.8,4.4,4.5,4.5,4.8,4.7,4.6,4.4,4.6,4.5,4.6
TURBO_29_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_28_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_27_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_26_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_25_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_24_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_23_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_22_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
